name,knn,lr,nn
benchmark,0.8282828282828283,0.8383838383838383,0.5656565427780151
ctgan,0.45454545454545453,0.47474747474747475,0.4747474789619446
benchmark,0.8282828282828283,0.8383838383838383,0.6666666865348816
benchmark,0.8282828282828283,0.8383838383838383,0.6161616444587708
ydata,0.3838383838383838,0.41414141414141414,0.5656565427780151
dpctgan,0.4444444444444444,0.4444444444444444,0.46464645862579346
benchmark,0.8282828282828283,0.8383838383838383,0.5858585834503174
ydata,0.3838383838383838,0.45454545454545453,0.4747474789619446
dpctgan,0.4444444444444444,0.4444444444444444,0.4747474789619446
benchmark,0.8282828282828283,0.8383838383838383,0.7070707082748413
