label,timestamp,duration,pkg,dram,socket
cleaning,1721398860.5132277,8700.705,103027.0,18433.0,0
preprocessing,1721398860.5221493,17506.271,833189.0,35278.0,0
knn,1721398860.545119,11936.917,707090.0,24353.0,0
lr,1721398860.5573,10549.347,767088.0,21302.0,0
nn,1721398860.5680785,568062.671,21852971.0,1111630.0,0
cleaning,1721398944.315552,3196.949,202575.0,9765.0,0
syn_ctgan,1721398944.3188283,159434.412,11185946.0,497741.0,0
preprocessing_ctgan,1721398944.4783978,17541.0,914365.0,36071.0,0
knn_ctgan,1721398944.5017028,14087.307,896544.0,29480.0,0
lr_ctgan,1721398944.516063,11026.297,766477.0,21667.0,0
nn_ctgan,1721398944.5277016,526423.908,24179443.0,1034971.0,0
cleaning,1721399164.6768317,3194.1,163940.0,7508.0,0
preprocessing,1721399164.680225,17208.822,882444.0,35156.0,0
knn,1721399164.7026558,13872.104,791807.0,27039.0,0
lr,1721399164.7167993,10914.276,715147.0,21240.0,0
nn,1721399164.7279406,543416.258,22680728.0,1066464.0,0
cleaning,1721399200.5760448,7565.371,121765.0,16602.0,0
preprocessing,1721399200.5839963,17322.399,795164.0,33142.0,0
knn,1721399200.6065183,11921.82,710387.0,23438.0,0
lr,1721399200.6186838,10550.135,780149.0,21362.0,0
nn,1721399200.6294637,519404.968,23187746.0,1021604.0,0
cleaning,1721399241.1484993,3154.491,156921.0,7568.0,0
syn_ydata,1721399241.1517353,5675975.506,250491424.0,13108609.0,0
preprocessing_ydata,1721399246.8280907,18208.622,964476.0,36926.0,0
knn_ydata,1721399246.8516345,12229.779,731871.0,24292.0,0
lr_ydata,1721399246.8641245,10814.778,755308.0,21118.0,0
nn_ydata,1721399246.8751864,548474.513,24900876.0,1076902.0,0
cleaning,1721400113.7904625,3158.119,162170.0,6836.0,0
syn_dpctgan,1721400113.7936976,18266082.911,1021553476.0,37117093.0,0
preprocessing_dpctgan,1721400132.0598917,17600.844,921018.0,33142.0,0
knn_dpctgan,1721400132.0828757,11957.964,782896.0,23498.0,0
lr_dpctgan,1721400132.095095,10813.447,835630.0,21057.0,0
nn_dpctgan,1721400132.1061401,510706.386,25813349.0,1012510.0,0
cleaning,1721405519.3022604,3250.335,206115.0,9704.0,0
preprocessing,1721405519.3055997,17747.808,862669.0,33325.0,0
knn,1721405519.3286333,12098.944,755430.0,25391.0,0
lr,1721405519.340974,10782.213,727598.0,21118.0,0
nn,1721405519.351986,533262.273,25176511.0,1080624.0,0
cleaning,1721405560.866312,6048.1,117737.0,12695.0,0
syn_ydata,1721405560.872625,5597059.736,250833708.0,12960843.0,0
preprocessing_ydata,1721405566.4700272,17601.288,905882.0,37415.0,0
knn_ydata,1721405566.492779,11840.688,766538.0,24047.0,0
lr_ydata,1721405566.504861,10808.357,790892.0,21363.0,0
nn_ydata,1721405566.5158958,505137.111,23612183.0,998044.0,0
cleaning,1721406433.4784253,3153.77,161437.0,7446.0,0
syn_dpctgan,1721406433.4816797,18736911.754,975782964.0,37923243.0,0
preprocessing_dpctgan,1721406452.2188442,16778.905,859189.0,33447.0,0
knn_dpctgan,1721406452.2407236,11774.536,729430.0,23437.0,0
lr_dpctgan,1721406452.25283,10524.517,751157.0,21485.0,0
nn_dpctgan,1721406452.263666,499837.421,23940308.0,991696.0,0
cleaning,1723799327.6413813,9472.313,129334.0,20630.0,0
preprocessing,1723799327.6514397,17122.118,801450.0,35583.0,0
knn,1723799327.673971,11756.925,678343.0,23865.0,0
lr,1723799327.6859648,10575.395,703367.0,21240.0,0
nn,1723799327.6967638,510916.672,22516178.0,1018308.0,0
